

        TIME                    RATE            ERROR
        s                       count/s         count/s
    105   8.640000000000000E+03   2.4249710E-01   9.1655292E-02
    106   8.700000000000000E+03   2.4196920E-01   9.1455765E-02
    107   8.760000000000000E+03   3.8385043E-01   1.1573526E-01
    108   8.820000000000000E+03   5.0046289E-01   1.3375433E-01
    109   8.880000000000000E+03   3.2697171E-01   1.0899056E-01
    110   8.940000000000000E+03   2.9483205E-01   1.0423887E-01
    111   9.000000000000000E+03   2.3901059E-01   9.7575665E-02
    112   9.060000000000000E+03   3.8771820E-01   1.3707907E-01
    113   1.158000000000000E+04   0.0000000E+00   0.0000000E+00
    114   1.164000000000000E+04   4.1685373E-01   1.2568614E-01
    115   1.170000000000000E+04   2.4182250E-01   9.1400310E-02
    116   1.176000000000000E+04   2.4250662E-01   9.1658890E-02
    117   1.182000000000000E+04   2.7648291E-01   9.7751461E-02
    118   1.188000000000000E+04   3.4498495E-01   1.0909382E-01
    119   1.194000000000000E+04   6.9163702E-02   4.8906121E-02
    120   1.200000000000000E+04   3.8119486E-01   1.1493458E-01
    121   1.206000000000000E+04   4.8358548E-01   1.2924366E-01
    122   1.212000000000000E+04   4.4892633E-01   1.2450975E-01
    123   1.218000000000000E+04   3.1149098E-01   1.0383032E-01
    124   1.224000000000000E+04   2.4231531E-01   9.1586575E-02
    125   1.230000000000000E+04   3.1192505E-01   1.0397501E-01
    126   1.236000000000000E+04   4.5036638E-01   1.2490916E-01
    127   1.242000000000000E+04   4.5003495E-01   1.2481723E-01
    128   1.248000000000000E+04   2.7612418E-01   9.7624637E-02
    129   1.254000000000000E+04   1.0361086E-01   5.9819754E-02
    130   1.260000000000000E+04   3.4498912E-01   1.0909514E-01
    131   1.266000000000000E+04   2.0717208E-01   8.4577650E-02
    132   1.272000000000000E+04   2.7597383E-01   9.7571477E-02
    133   1.278000000000000E+04   4.1502473E-01   1.1980731E-01
    134   1.284000000000000E+04   3.1202018E-01   1.0400673E-01
    135   1.290000000000000E+04   1.3800704E-01   6.9003522E-02
    136   1.296000000000000E+04   3.1132954E-01   1.0377651E-01
    137   1.302000000000000E+04   1.3818853E-01   6.9094263E-02
    138   1.308000000000000E+04   1.7275539E-01   7.7258557E-02
    139   1.314000000000000E+04   1.7224225E-01   7.7029072E-02
    140   1.320000000000000E+04   3.8051784E-01   1.1473045E-01
    141   1.326000000000000E+04   3.4596646E-01   1.0940421E-01
    142   1.332000000000000E+04   3.1122202E-01   1.0374067E-01
    143   1.338000000000000E+04   1.0358913E-01   5.9807211E-02
    144   1.344000000000000E+04   2.4149457E-01   9.1276370E-02
    145   1.350000000000000E+04   4.4913399E-01   1.2456735E-01
    146   1.356000000000000E+04   4.1408822E-01   1.1953697E-01
    147   1.362000000000000E+04   3.8026524E-01   1.1465429E-01
    148   1.368000000000000E+04   2.0744628E-01   8.4689587E-02
    149   1.374000000000000E+04   3.8062561E-01   1.1476294E-01
    150   1.380000000000000E+04   1.0380786E-01   5.9933495E-02
    151   1.386000000000000E+04   2.0787163E-01   8.4863238E-02
    152   1.392000000000000E+04   3.1239381E-01   1.0413127E-01
    153   1.398000000000000E+04   1.7284951E-01   7.7300653E-02
    154   1.404000000000000E+04   2.7728683E-01   9.8035701E-02
    155   1.410000000000000E+04   2.4287997E-01   9.1799997E-02
    156   1.416000000000000E+04   2.4278590E-01   9.1764450E-02
    157   1.422000000000000E+04   1.7353110E-01   7.7605471E-02
    158   1.428000000000000E+04   3.1280172E-01   1.0426723E-01
    159   1.434000000000000E+04   4.1661653E-01   1.2026683E-01
    160   1.440000000000000E+04   2.0788574E-01   8.4868997E-02
    161   1.446000000000000E+04   3.8170668E-01   1.1508890E-01
    162   1.452000000000000E+04   1.7319833E-01   7.7456646E-02
    163   1.458000000000000E+04   3.7985364E-01   1.1453018E-01
    164   1.464000000000000E+04   4.5006779E-01   1.2482634E-01
    165   1.470000000000000E+04   2.4231043E-01   9.1584735E-02
    166   1.476000000000000E+04   3.1170082E-01   1.0390027E-01
